Dataset,FeatureSubset,IncludedGroups,ExcludedGroups,Source objective,ValidationAccuracy@20_40,NDCG@20,Recall@20,Hit@20,Pers@20,AvgPop@20,NDCG@40,Recall@40,Hit@40,Pers@40,AvgPop@40,ValidationCRRU@20,ValidationCRRU@40,ValidationCRRU@20_40,PosthocCRRU@20,PosthocCRRU@40,Time/epoch (s),Peak VRAM (MB),Batch,CompletedTrials,Status
kuairand1k,pair_item_upload_time__item_category,"item_upload_time,item_category","item_author_music,item_video_metadata,item_resolution",0.05513498029456887,0.006029164628125727,0.0038443056400865316,0.00639269407838583,0.010958904400467873,0.9783275723457336,0.32061028480529785,0.006010215729475021,0.016073059290647507,0.024657534435391426,0.9588205814361572,0.31935855746269226,0.04601897565257617,0.06628773352417684,0.0561533545883765,0.04601897565257617,0.06628773352417684,0.11754153756520162,4422.0,1048576.0,1,completed
kuairand1k,pair_item_upload_time__item_resolution,"item_upload_time,item_resolution","item_author_music,item_video_metadata,item_category",0.039434967821278435,0.0036651108413934706,0.002040138468146324,0.005479452200233936,0.005479452200233936,0.9901587963104248,0.2710758447647095,0.0027173245325684547,0.008675798773765564,0.010958904400467873,0.9805115461349487,0.2707062065601349,0.03563763684226699,0.04455497052090518,0.040096303681586086,0.03563763684226699,0.04455497052090518,0.11394929132433931,4422.0,1048576.0,1,completed
kuairand1k,pair_item_video_metadata__item_category,"item_video_metadata,item_category","item_author_music,item_upload_time,item_resolution",0.050857023258044504,0.0057588818250224,0.0033136093989014626,0.008675799705088139,0.010958904400467873,0.9772693514823914,0.32196274399757385,0.004303039517253637,0.012876712717115879,0.019178081303834915,0.9589388370513916,0.32108038663864136,0.04684582317586328,0.05675209925899231,0.05179896121742779,0.04684582317586328,0.05675209925899231,0.11577533041307343,4422.0,1048576.0,1,completed
kuairand1k,pair_item_video_metadata__item_resolution,"item_video_metadata,item_resolution","item_author_music,item_upload_time,item_category",0.03658639606032788,0.0028852561023086313,0.0009824134176597,0.0036529682110995054,0.005479452200233936,0.9907180070877075,0.27039653062820435,0.002566112671047449,0.010958904400467873,0.016438355669379234,0.9816867113113403,0.2705906331539154,0.02696081896929741,0.047438130816830806,0.037199474893064105,0.02696081896929741,0.047438130816830806,0.11606360670000868,4421.0,1048576.0,1,completed
kuairand1k,pair_item_video_metadata__item_upload_time,"item_video_metadata,item_upload_time","item_author_music,item_resolution,item_category",0.048444376820226565,0.005107367248274386,0.001891774358227849,0.007305935490876436,0.010958904400467873,0.9747426509857178,0.33845996856689453,0.0039989096112549305,0.017351597547531128,0.024657534435391426,0.9470856785774231,0.34470033645629883,0.03879201692906301,0.059952018567309306,0.049372017748186156,0.03879201692906301,0.059952018567309306,0.1136211499090705,4421.0,1048576.0,2,completed
kuairand1k,pair_item_video_metadata__item_upload_time,"item_video_metadata,item_upload_time","item_author_music,item_resolution,item_category",0.03792610806400565,0.002855053439270705,0.0013976847985759377,0.003196347039192915,0.005479452200233936,0.9916431307792664,0.24847470223903656,0.002872239798307419,0.009262883104383945,0.019178081303834915,0.9838115572929382,0.24484911561012268,0.028988618292529612,0.04806158775391786,0.038525103023223733,0.028988618292529612,0.04806158775391786,0.11884217995651378,4631.0,1048576.0,2,completed
kuairand1k,single_item_author_music,item_author_music,"item_video_metadata,item_upload_time,item_resolution,item_category",0.04813413757617159,0.004768979887012392,0.0023108073510229588,0.006849315017461777,0.010958904400467873,0.9900941252708435,0.18847709894180298,0.003760001389309764,0.013372472487390041,0.021917808800935745,0.981666088104248,0.18791081011295319,0.04105654360373394,0.056476363658305356,0.04876645363101965,0.04105654360373394,0.056476363658305356,0.12080858167392643,3850.0,1048576.0,1,completed
kuairand1k,single_item_category,item_category,"item_author_music,item_video_metadata,item_upload_time,item_resolution",0.05432566605282428,0.006247822777368128,0.0034129221457988024,0.008675799705088139,0.010958904400467873,0.979167640209198,0.31949886679649353,0.005100705660879612,0.016073059290647507,0.024657534435391426,0.9614505171775818,0.31658270955085754,0.04724736974239097,0.06340375032737088,0.05532556003488093,0.04724736974239097,0.06340375032737088,0.11669789928260876,4394.0,1048576.0,1,completed
kuairand1k,single_item_resolution,item_resolution,"item_author_music,item_video_metadata,item_upload_time,item_category",0.035608291816699174,0.0026510395284276454,0.0009593924623914063,0.003196347039192915,0.005479452200233936,0.992473304271698,0.24683327972888947,0.0024512691888958216,0.010045661590993404,0.016438355669379234,0.9851400852203369,0.24425433576107025,0.026158808943100992,0.0461795319166285,0.03616917042986474,0.026158808943100992,0.0461795319166285,0.11699823334785596,4394.0,1048576.0,1,completed
kuairand1k,single_item_upload_time,item_upload_time,"item_author_music,item_video_metadata,item_resolution,item_category",0.04440266762635484,0.00415097838267684,0.0023682473693042994,0.006066536530852318,0.010958904400467873,0.9907978773117065,0.18026863038539886,0.0031884671188890934,0.009719504974782467,0.016438355669379234,0.9830390214920044,0.1814887821674347,0.04037794274677398,0.04956130817235768,0.04496962545956583,0.04037794274677398,0.04956130817235768,0.116363492633324,4394.0,1048576.0,1,completed
kuairand1k,single_item_video_metadata,item_video_metadata,"item_author_music,item_upload_time,item_resolution,item_category",0.047692611678407666,0.004953562468290329,0.0020791541319340467,0.007305936422199011,0.010958904400467873,0.960797131061554,0.3709958493709564,0.0038710134103894234,0.015068492852151394,0.024657534435391426,0.9255622029304504,0.37270599603652954,0.03968626788712274,0.05760321167073511,0.04864473977892893,0.03968626788712274,0.05760321167073511,0.11576795130207529,3850.0,1048576.0,1,completed
kuairand1k,triple_item_author_music__item_resolution__item_category,"item_author_music,item_resolution,item_category","item_video_metadata,item_upload_time",0.05706589844064021,0.006860575266182422,0.004393783397972584,0.008675798773765564,0.010958904400467873,0.9801453351974487,0.3128162622451782,0.0059770699590444565,0.015981733798980713,0.021917808800935745,0.9629343152046204,0.31238240003585815,0.05067156002942728,0.06554159117304874,0.05810657560123801,0.05067156002942728,0.06554159117304874,0.11663267291303624,4468.0,1048576.0,1,completed
kuairand1k,triple_item_author_music__item_upload_time__item_category,"item_author_music,item_upload_time,item_category","item_video_metadata,item_resolution",0.061001924699293976,0.00773671695496887,0.0047469185665249825,0.010045661590993404,0.013698630034923553,0.9815497994422913,0.30970409512519836,0.006531308870762587,0.018721459433436394,0.024657534435391426,0.966033935546875,0.3075338304042816,0.05425052196225889,0.06996187838194035,0.06210620017209961,0.05425052196225889,0.06996187838194035,0.11742422736955158,4469.0,1048576.0,1,completed
kuairand1k,triple_item_author_music__item_upload_time__item_resolution,"item_author_music,item_upload_time,item_resolution","item_video_metadata,item_category",0.04761171431873919,0.005243024416267872,0.0028648781590163708,0.008219177834689617,0.008219177834689617,0.9839553236961365,0.30500084161758423,0.003790508955717087,0.011872145347297192,0.016438355669379234,0.96673983335495,0.3117208778858185,0.043586565035622464,0.05336125238034478,0.048473908707983626,0.043586565035622464,0.05336125238034478,0.11537407582142935,4469.0,1048576.0,2,completed
kuairand1k,triple_item_author_music__item_upload_time__item_resolution,"item_author_music,item_upload_time,item_resolution","item_video_metadata,item_category",0.047550437322497835,0.005241247976664454,0.0028648781590163708,0.008219177834689617,0.008219177834689617,0.9836090207099915,0.3094967305660248,0.0037786660250276327,0.011872145347297192,0.016438355669379234,0.9662084579467773,0.3155641257762909,0.04355625047904237,0.05327968376478088,0.048417967121911626,0.04355625047904237,0.05327968376478088,0.11578637673213572,4633.0,1048576.0,2,completed
kuairand1k,triple_item_author_music__item_video_metadata__item_category,"item_author_music,item_video_metadata,item_category","item_upload_time,item_resolution",0.05469897734025667,0.006831317231990397,0.00368925416842103,0.011415526270866394,0.013698630034923553,0.9807625412940979,0.31215083599090576,0.004477475304156542,0.014611872844398022,0.021917808800935745,0.9649326801300049,0.31139716506004333,0.05186785278873611,0.05952219296456639,0.05569502287665125,0.05186785278873611,0.05952219296456639,0.11618527102082983,4466.0,1048576.0,1,completed
